path_id,entry_point_id,target_asset_id,hop_sequence,hop_count,path_probability,normalized_score,priority_label,generated_at,explanations,traverses
AP-1091,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA11-E135,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA11-E135,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA11-E135-01', 'asset_id': 'SYS-DA11-E135', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1092,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA12-F55A,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA12-F55A,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA12-F55A-01', 'asset_id': 'SYS-DA12-F55A', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1093,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA13-917E,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA13-917E,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA13-917E-01', 'asset_id': 'SYS-DA13-917E', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1}"
AP-1094,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA14-9849,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA14-9849,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA14-9849-01', 'asset_id': 'SYS-DA14-9849', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1095,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA15-5D9A,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA15-5D9A,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA15-5D9A-01', 'asset_id': 'SYS-DA15-5D9A', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1}"
AP-1096,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA16-7F94,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA16-7F94,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA16-7F94-01', 'asset_id': 'SYS-DA16-7F94', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1097,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA19-ABC8,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA19-ABC8,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA19-ABC8-01', 'asset_id': 'SYS-DA19-ABC8', 'edge_factor': 1}"
AP-1098,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA20-D69E,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA20-D69E,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA20-D69E-01', 'asset_id': 'SYS-DA20-D69E', 'edge_factor': 1}"
AP-1099,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA21-FA93,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA21-FA93,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA21-FA93-01', 'asset_id': 'SYS-DA21-FA93', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1}"
AP-1100,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA22-A9EB,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA22-A9EB,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA22-A9EB-01', 'asset_id': 'SYS-DA22-A9EB', 'edge_factor': 1}"
AP-1101,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA23-906B,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA23-906B,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA23-906B-01', 'asset_id': 'SYS-DA23-906B', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1102,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA24-5F96,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA24-5F96,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA24-5F96-01', 'asset_id': 'SYS-DA24-5F96', 'edge_factor': 1}"
AP-1103,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA25-F605,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA25-F605,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA25-F605-01', 'asset_id': 'SYS-DA25-F605', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1104,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA26-3233,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA26-3233,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA26-3233-01', 'asset_id': 'SYS-DA26-3233', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1105,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA27-ECA1,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA27-ECA1,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA27-ECA1-01', 'asset_id': 'SYS-DA27-ECA1', 'edge_factor': 1}"
AP-1106,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA28-6B3D,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA28-6B3D,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA28-6B3D-01', 'asset_id': 'SYS-DA28-6B3D', 'edge_factor': 1}"
AP-1107,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA29-9521,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA29-9521,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA29-9521-01', 'asset_id': 'SYS-DA29-9521', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1108,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA8-77F8,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA8-77F8,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA8-77F8-01', 'asset_id': 'SYS-DA8-77F8', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1}"
AP-1109,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA9-228C,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED>EXT-PL-F51124>SYS-DA9-228C,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA7-62ED-01', 'asset_id': 'SYS-DA7-62ED', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA7-62ED-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA9-228C-01', 'asset_id': 'SYS-DA9-228C', 'edge_factor': 1}"
AP-1110,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA10-DEF7,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA8-77F8>EXT-PL-F51124>SYS-DA10-DEF7,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA10-DEF7-01', 'asset_id': 'SYS-DA10-DEF7', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA8-77F8-01', 'asset_id': 'SYS-DA8-77F8', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA8-77F8-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1111,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA11-E135,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA8-77F8>EXT-PL-F51124>SYS-DA11-E135,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA11-E135-01', 'asset_id': 'SYS-DA11-E135', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA8-77F8-01', 'asset_id': 'SYS-DA8-77F8', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA8-77F8-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1112,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA12-F55A,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA8-77F8>EXT-PL-F51124>SYS-DA12-F55A,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA8-77F8-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA12-F55A-01', 'asset_id': 'SYS-DA12-F55A', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA8-77F8-01', 'asset_id': 'SYS-DA8-77F8', 'edge_factor': 1}"
AP-1113,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA13-917E,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA8-77F8>EXT-PL-F51124>SYS-DA13-917E,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA8-77F8-01', 'asset_id': 'SYS-DA8-77F8', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA13-917E-01', 'asset_id': 'SYS-DA13-917E', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA8-77F8-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1114,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA14-9849,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA8-77F8>EXT-PL-F51124>SYS-DA14-9849,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA8-77F8-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA8-77F8-01', 'asset_id': 'SYS-DA8-77F8', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA14-9849-01', 'asset_id': 'SYS-DA14-9849', 'edge_factor': 1}"
AP-1115,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA15-5D9A,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA8-77F8>EXT-PL-F51124>SYS-DA15-5D9A,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA15-5D9A-01', 'asset_id': 'SYS-DA15-5D9A', 'edge_factor': 1} > {'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA8-77F8-01', 'asset_id': 'SYS-DA8-77F8', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA8-77F8-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1}"
AP-1116,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA16-7F94,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA8-77F8>EXT-PL-F51124>SYS-DA16-7F94,3,0.309557,0.9025,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA8-77F8-01', 'asset_id': 'SYS-DA8-77F8', 'edge_factor': 1} > {'hop': 2, 'edge_id': 'E-EXT-PL-F51124-SYS-DA8-77F8-01#rev', 'asset_id': 'EXT-PL-F51124', 'edge_factor': 1} > {'hop': 3, 'edge_id': 'E-EXT-PL-F51124-SYS-DA16-7F94-01', 'asset_id': 'SYS-DA16-7F94', 'edge_factor': 1}"
