path_id,entry_point_id,target_asset_id,hop_sequence,hop_count,path_probability,normalized_score,priority_label,generated_at,explanations,traverses
AP-0028,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA8-77F8,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA8-77F8,1,0.343,1,High,2026-05-20T05:30:42.857Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA8-77F8
AP-0029,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA9-228C,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA9-228C,1,0.343,1,High,2026-05-20T05:30:42.857Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA9-228C
AP-0030,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA10-DEF7,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA10-DEF7,1,0.343,1,High,2026-05-20T05:30:42.864Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA10-DEF7
AP-0031,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA11-E135,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA11-E135,1,0.343,1,High,2026-05-20T05:30:42.865Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA11-E135
AP-0032,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA12-F55A,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA12-F55A,1,0.343,1,High,2026-05-20T05:30:42.866Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA12-F55A
AP-0033,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA13-917E,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA13-917E,1,0.343,1,High,2026-05-20T05:30:42.866Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA13-917E
AP-0034,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA14-9849,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA14-9849,1,0.343,1,High,2026-05-20T05:30:42.867Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA14-9849
AP-0035,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA15-5D9A,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA15-5D9A,1,0.343,1,High,2026-05-20T05:30:42.868Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA15-5D9A
AP-0036,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA16-7F94,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA16-7F94,1,0.343,1,High,2026-05-20T05:30:42.868Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA16-7F94
AP-0037,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA19-ABC8,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA19-ABC8,1,0.343,1,High,2026-05-20T05:30:42.873Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA19-ABC8
AP-0038,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA20-D69E,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA20-D69E,1,0.343,1,High,2026-05-20T05:30:42.873Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA20-D69E
AP-0039,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA21-FA93,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA21-FA93,1,0.343,1,High,2026-05-20T05:30:42.874Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA21-FA93
AP-0040,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA22-A9EB,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA22-A9EB,1,0.343,1,High,2026-05-20T05:30:42.875Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA22-A9EB
AP-0041,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA23-906B,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA23-906B,1,0.343,1,High,2026-05-20T05:30:42.875Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA23-906B
AP-0042,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA24-5F96,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA24-5F96,1,0.343,1,High,2026-05-20T05:30:42.875Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA24-5F96
AP-0043,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA25-F605,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA25-F605,1,0.343,1,High,2026-05-20T05:30:42.876Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA25-F605
AP-0044,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA26-3233,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA26-3233,1,0.343,1,High,2026-05-20T05:30:42.876Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA26-3233
